41,n,9,"the serpent slain, according to the myth, near Delphi by Apollo, who was fabled to have been called Pythius in commemoration of this victory",1566
151085,07640637,n,10,someone other than the principals who are involved in a transaction,1753
151086,07640762,n,10,one who is third-rate or distinctly inferior,2516
151087,07640864,n,10,a well-bred person,1675
151088,07640959,n,10,someone held in bondage,2516
151089,07641053,n,10,someone who projects something through the air (especially by a rapid motion of the arm),2516
151090,07641231,n,10,a person who twists silk or rayon filaments into a thread or yarn,1787
151091,07641352,n,10,(informal) a woman who sings popular songs,2536
151093,07641615,n,10,an acolyte who carries a thurible,1565
151094,07641703,n,10,someone who is paid to admit only those who have purchase tickets,"1707,2516"
151096,07641992,n,10,(football) an offensive end who lines up close to the tackle,2638
151097,07642108,n,10,a clerk who keeps track of the hours worked by employees,2516
151098,07642221,n,10,(sports) an official who keeps track of the time elapsed in a game,2638
151099,07642344,n,10,someone who makes or repairs tinware,1787
151100,07642435,n,10,someone who drinks liquor repeatedly in small quantities,2516
151101,07642562,n,10,one who sells advice about gambling or speculation,"1753,2600"
151102,07642673,n,10,a special law-enforcement agent of the US Treasury,"1820,2516"
151103,07642775,n,10,the person who proposes toasts and introduces speakers at a banquet,2425
151104,07642918,n,10,a woman toastmaster,2425
151105,07642998,n,10,a retail dealer in tobacco and tobacco related articles,2872
151106,07643111,n,10,a native or inhabitant of the island of Tobago in the West Indies,2772
151107,07643252,n,10,someone who rides a toboggan,2638
151108,07643338,n,10,a young child,2516
151109,07643432,n,10,an elegantly dressed man (often with affected manners),2516
151110,07643543,n,10,someone employed to collect tolls,1784
151111,07643709,n,10,a person who rings church bells (as for summoning the congregation),2516
151112,07643843,n,10,a girl who behaves in a boyish manner,2516
151113,07643949,n,10,a very small person,2516
151115,07644157,n,10,someone skilled in making or repairing tools,"1787,2425"
151116,07644257,n,10,the leading comedian in a burlesque show,2425
151117,07644354,n,10,a leader in a campaign or movement,1718
151118,07644446,n,10,a singer (usually a woman) who specializes in singing torch songs,2536
151119,07644570,n,10,someone who torments,2516
151120,07644713,n,10,someone who inflicts severe physical pain,2516
151121,07644809,n,10,an American who favored the British side during the American Revolution,2772
151123,07645097,n,10,a skilled typist who can type a document without looking at the keyboard,2516
151124,07645228,n,10,someone who bullies weaker people,1802
151126,07645492,n,10,someone who travels for pleasure,2772
151128,07645707,n,10,(formerly) an official who made public announcements,1820
151129,07645824,n,10,a resident of a town or city,2772
151131,07646109,n,10,resident of a college town not affiliated with the college,2772
151133,07646343,n,10,one who studies the nature and effects of poisons and their treatment,2232
151134,07646471,n,10,someone who tracks down game (or criminals),2656
151135,07646568,n,10,a star runner,2516
151137,07646824,n,10,someone who purchases and maintains an inventory of goods to be sold,2872
151138,07647209,n,10,a worker who belongs to a trade union,1753
151139,07647333,n,10,one who adheres to traditional views,2516
151140,07647458,n,10,a policeman who controls the flow of automobile traffic,"1781,1820"
151141,07647607,n,10,one who specializes in tragic roles,2610
151142,07647698,n,10,a writer (especially a playwright) who writes,2657
151122,07644931,n,10,a supporter of traditional political and social institutions against the forces of reform; a political conservative,1718
151143,07647799,n,10,an actress who specializes in tragic roles,2610
151144,07647899,n,10,the person responsible for driving a herd of cattle,"2314,2876"
151201,07654954,n,10,the brother of your father or mother; the husband of your aunt,2516
151155,07649323,n,10,"one who stays for only a short time: ""transient laborers""",2516
151145,07648007,n,10,one who holds up the train of a gown or robe on a ceremonial occasion,
151146,07648153,n,10,someone who is being trained,2516
151147,07648253,n,10,one who trains other persons or animals,2638
151148,07648382,n,10,an employee of a railroad,1940
151149,07648589,n,10,someone who betrays his country by committing treason,1802
151150,07648763,n,10,female traitor,1802
151151,07648833,n,10,a disreputable wanderer,2516
151152,07648939,n,10,one living on or coming from the other side of the Alps from Italy,2516
151153,07649063,n,10,advocate of Transcendentalism,1451
151156,07649436,n,10,a person whose sexual identification is entirely with the opposite sex,1703
151157,07649564,n,10,a person who has undergone a sex change operation,1703
151158,07649671,n,10,someone who adopts the dress or manner or sexual role of the opposite sex,1703
151159,07649819,n,10,someone who traps animals for their furs,2656
151160,07649931,n,10,member of an order of monks noted for austerity and a vow of silence,1565
151162,07650212,n,10,someone who sells or arranges trips or tours for customers,"1753,2872"
151163,07650329,n,10,a salesman who travels to call on customers,2872
151164,07650559,n,10,an officer charged with receiving and disbursing funds,1782
151165,07650743,n,10,the British cabinet minister responsible for economic strategy,"1718,1753,1820"
151166,07650908,n,10,a specialist in treating damaged trees,2172
151167,07651005,n,10,someone who popularizes a new fashion,"2516,2875"
151168,07651133,n,10,a lawyer who specializes in defending clients before a court of law,1802
151169,07651276,n,10,a judge in a trial court,"1802,1820"
151170,07651358,n,10,someone who lives in a tribe,"1675,2516"
151171,07651461,n,10,a specialist in tribology,2415
151172,07651544,n,10,one who tries,2516
151173,07651609,n,10,one (as a judge) who examines and settles a case,"1802,1820"
151174,07651709,n,10,one who behaves lightly or not seriously,2516
151175,07651803,n,10,a mathematician specializing in trigonometry,2873
151176,07651910,n,10,inhabitant or native of Trinidad,2772
151177,07652000,n,10,one of three offspring born at the same time,
151178,07652098,n,10,someone (not an orthodox Christian) who believes that the Father and Son and Holy Ghost are three separate gods,1565
151179,07652265,n,10,one of a group of three sharing public administration or civil authority especially in ancient Rome,1718
151180,07652419,n,10,a musician who plays the trombone,2536
151181,07652527,n,10,a mounted policeman,"1781,1820"
151182,07652600,n,10,a state police officer,"1781,1820"
151183,07652692,n,10,someone who deliberately stirs up trouble,2516
151184,07652979,n,10,a worker whose job is to locate and fix sources of trouble (especially in mechanical devices),2516
151185,07653151,n,10,one who is absent from school without permission,1919
151186,07653267,n,10,a musician who plays the trumpet or cornet,2536
151188,07653548,n,10,a noisy and vigorous or ranting public speaker,2516
151189,07653652,n,10,a gymnast who performs rolls and somersaults and twists etc.,2638
151190,07653784,n,10,someone who tunes pianos,2536
151191,07653874,n,10,one employed to control water supply by turning water mains on and off,2516
151192,07653999,n,10,a lathe operator,1787
151193,07654068,n,10,a tumbler who is a member of a turnverein,2638
151194,07654181,n,10,learns from a tutor,1919
151195,07654252,n,10,someone who is regarded as contemptible,2516
151196,07654358,n,10,either of two offspring born at the same time,
151197,07654490,n,10,a person who plays the kettledrums,2536
151198,07654592,n,10,someone paid to operate a typewriter,2516
151199,07654699,n,10,a dictator or dictatorial person,2768
151200,07654822,n,10,an ugly or unpromising child who grows into a beautiful or worthy person,2516
151203,07655239,n,10,a student who does not perform as well as the IQ indicates,1919
151204,07655357,n,10,a university student who has not yet received a first degree,1919
151266,07663558,n,10,a doctor who practices veterinary medicine,2232
151202,07655104,n,10,"a source of help and advice and encouragement: ""he played uncle to lonely students""",2516
210334,L4693903,n,9,"an ancient maritime city on the southern coast of Sardinia, founded by Carthage, now the ruins of Palma de Solo near Sulci",2775
151205,07655543,n,10,a secretary immediately subordinate to the head of a department of government,"1820,2516"
151206,07655681,n,10,an actor able to replace a regular performer when required,2610
151208,07655955,n,10,someone who is jobless,2516
151209,07656059,n,10,an imaginary creature represented as a white horse with a long horn growing from its forehead,
151243,07660401,n,10,a member of the mercantile and professional Hindu caste; the third of the four main castes,"1565,1675"
151265,07663389,n,10,"a serviceman who has seen considerable active service: ""the veterans laughed at the new recruits""",1781
151263,07663074,n,10,an experienced person; someone who has given long service,2516
151210,07656206,n,10,an advocate of unilateralism,"1718,1802"
151211,07656294,n,10,a representative for a labor union,1718
151212,07656449,n,10,adherent of Unitarianism,1565
151213,07656548,n,10,adherent of Trinitarianism,1350
151214,07656632,n,10,adherent of Arminianism,1565
151215,07656729,n,10,someone authorized to transact every kind of business for the principal,2516
