,184167,,,
363154,46135,178682,,,
363159,46135,173043,,,
363163,46135,176111,,,
363170,46135,179687,,,
363177,46135,175059,,,
363184,46135,179659,,,
363191,46135,176575,,,
363198,46135,175030,,,
363205,46135,172972,,,
363212,46135,174496,,,
363219,46135,176536,,,
363226,46135,177031,,,
363233,46135,170352,,,
363240,46135,179040,,,
363247,46135,172366,,,
363254,46135,171845,,,
363261,46135,181050,,,
363266,46135,172338,,,
363270,46135,180002,,,
363277,46135,179481,,,
363284,46135,173838,,,
363291,46135,171255,,,
363298,46135,172263,,,
363305,46135,176847,,,
363312,46135,180933,,,
363319,46135,174250,,,
363326,46135,178851,,,
363333,46135,180376,,,
363340,46135,179342,,,
363347,46135,171132,,,
363354,46135,178788,,,
363361,46135,181339,,,
363368,46135,169550,,,
363373,46135,180800,,,
363377,46135,176476,,,
363384,46135,179244,,,
363391,46135,172575,,,
363398,46135,172056,,,
363405,46135,178188,,,
363412,46135,181257,,,
363419,46135,173568,,,
363426,46087,199785,,,
363433,46117,107241,,,
363440,46103,150872,,,
363447,46103,122128,,,
363454,46103,147874,,,
363461,46075,174965,,,
363468,46075,175996,,,
363475,46075,179037,,,
363480,46075,176213,,,
363484,46075,175179,,,
363491,46075,178753,,,
363498,46075,172336,,,
363505,46075,172584,,,
363512,46075,178462,,,
363519,46075,176405,,,
363526,46075,172301,,,
363533,46107,185075,,,
363540,46107,186472,,,
363547,46107,185057,,,
363554,46107,189097,,,
363561,46107,182017,,,
363568,46083,105952,,,
363575,46083,162629,,,
363582,46083,107947,,,
363587,46083,162956,,,
363591,46072,137970,,,
363598,46072,137953,,,
363605,46125,141674,,,
363612,46125,144459,,,
363619,46125,161086,,,
363626,46125,130848,,,
363633,46109,173695,,,
363640,46109,173665,,,
363647,46109,171571,,,
363654,46109,176912,,,
363661,46085,130249,,,
363668,46098,196018,,,
363675,46129,143012,,,
363682,46122,103676,,,
363689,46122,142322,,,
363694,46122,122729,,,
363698,46122,141126,,,
363705,46122,163500,,,
363712,46122,165383,,,
363719,46086,196590,,,
363726,46086,187860,,,
363733,46086,186922,,,
363740,46086,189194,,,
363747,46101,199417,,,
363754,46101,199409,,,
363761,46101,199518,,,
363768,46101,199676,,,
363775,46101,200341,,,
