,praesignis,a,aps---cn3i,praesign praesign praesign,praesignis,0
100482,s9949,satus,n,n-s---mn4-,sat,satus,0
100483,s0468,sauillum,n,n-s---nn2-,sauill,sauillum,0
100485,s0504,scabitudo,n,n-s---fn3-,scabitudin,scabitudo,0
100486,s0534,scalptor,n,n-s---mn3-,scalptor,scalptor,0
100487,s0537,scalpurrio,v,v1spia--4-,scalpurriu scalpurriu scalpurrit,scalpurrio,0
100480,100480,satrapea,n,n-s---fn1-,satrape,satrapea,0
100488,s0590,scazon,n,n-s---mn3i,scazont,scazon,0
100489,s0607,sceptrifer,a,aps---mn1r,sceptrifer sceptrifer sceptrifer,sceptrifer,0
100490,s0612,schedium,n,n-s---nn2-,schedi,schedium,0
100492,s0648,sciniphes,n,n-s---fn3-,sciniph,sciniphes,0
100493,s0658,scipio,n,n-s---mn3-,scipion,scipio,0
100497,100497,scopae,n,n-p---fn1-,scop,scopae,0
100494,s0101,scirpeus,a,aps---mn1-,scirpe scirpe scirpe,scirpeus,0
100509,100509,scutulata,n,n-p---nn2-,scutulat,scutulata,0
100511,100511,secrete,r,rp--------,,secrete,0
100514,100514,secundae,n,n-p---fn1-,secund,secundae,0
100515,100515,secunde,r,rp--------,,secunde,0
100496,s0688,scloppus,n,n-s---mn2-,sclopp,scloppus,0
100516,100516,secure,r,rp--------,,secure,0
100520,100520,segne,r,rp--------,,segne,0
100524,100524,semanimis,a,aps---cn3i,semanim semanim semanim,semanimis,0
100525,100525,semanimus,a,aps---mn1-,semanim semanim semanim,semanimus,0
100528,100528,semermus,a,aps---mn1-,semerm semerm semerm,semermus,0
100503,s0780,scrobis,n,n-s---mn3i,scrob,scrobis,0
100498,s0706,scopio,n,n-s---mn3-,scopion,scopio,0
100500,s0715,scordalia,n,n-s---fn1-,scordali,scordalia,0
100504,s0783,scrofipascus,a,aps---mn1-,scrofipasc scrofipasc scrofipasc,scrofipascus,0
100505,s0806,sculponeae,n,n-p---fn1-,sculpone,sculponeae,0
100506,s0814,scurrilis,a,aps---cn3i,scurril scurril scurril,scurrilis,0
100508,s0828,scutriscum,n,n-s---nn2-,scutrisc,scutriscum,0
100510,s0862,secludo,v,v1spia--3-,seclud seclus seclus,secludo,0
100512,s0872,sectilis,a,aps---cn3i,sectil sectil sectil,sectilis,0
100513,s0876,sector,n,n-s---mn3-,sector,sector,0
100518,s0903,sedamen,n,n-s---nn3-,sedamin,sedamen,0
100519,s0916,sedile,n,n-s---nn3i,sedil,sedile,0
100521,s0943,segnipes,a,aps---an3-,segniped segniped segniped,segnipes,0
100522,s0944,segnis,a,aps---cn3i,segn segn segn,segnis,0
100523,s0953,segrex,a,aps---an3-,segreg segreg segreg,segrex,0
100529,s1773,semianimis,a,aps---cn3i,semianim semianim semianim,semianimis,0
100531,s1038,semicrudus,a,aps---mn1-,semicrud semicrud semicrud,semicrudus,0
100532,s1041,semidea,n,n-s---fn1-,semide,semidea,0
100533,s1055,semifunium,n,n-s---nn2-,semifuni,semifunium,0
100534,s1061,semihians,a,aps---an3i,semihiant semihiant semihiant,semihians,0
100535,s1073,semiliber,a,aps---mn1r,semiliber semiliber semiliber,semiliber,0
44173,i2200,insurgo,v,v1spia--3-,insurg insurrex insurrect,insurgo,0
40307,c0649,cariosus,a,aps---mn1-,carios carios carios,cariosus,0
40277,d0338,defarinatus,a,aps---mn1-,defarinat defarinat defarinat,defarinatus,0
100538,100538,semipaganus,a,aps---mn1-,semipagan semipagan semipagan,semipaganus,0
100542,100542,sempiternum,r,rp--------,,sempiternum,0
100553,100553,senus,a,aps---mn1-,sen sen sen,senus,0
100544,,senex,a,aps---an3-,sen sen sen,senex,0
100557,100557,septemuiri,n,n-p---mn2-,septemuir,septemuiri,0
100559,100559,septentrionalia,n,n-p---nn3i,septentrional,septentrionalia,0
100560,100560,septenus,a,aps---mn1-,septen septen septen,septenus,0
100565,100565,sequens,a,aps---an3i,sequent sequent sequent,sequens,0
100566,100566,sera,r,rp--------,,sera,0
100568,100568,serica,n,n-p---nn2-,seric,serica,0
100571,100571,sero,r,rp--------,,sero,0
100573,100573,seruans,a,aps---an3i,seruant seruant seruant,seruans,0
100575,100575,seruatus,a,aps---mn1-,seruat seruat seruat,seruatus,0
100577,100577,seruos,n,n-s---mn2-,seru,seruos,0
100540,s1140,semisomnis,a,aps---cn3i,semisomn semisomn semisomn,semisomnis,0
100582,100582,sescentus,a,aps---mn1-,sescent sescent sescent,sescentus,0
100583,100583,sesima,n,n-s---fn1-,sesim,sesima,0
100593,100593,sexagesimus,a,aps---mn1-,sexagesim sexagesim sexagesim,sexagesimus,0
100594,100594,sexcenti,a,app---mn1-,sexcent sexcent sexcent,sexcenti,0
100596,100596,sexies,r,rp--------,,sexies,0
100599,100599,sextarius,a,aps---mn1-,sextari sextari sextari,sextarius,0
100541,s1182,semodialis,a,aps---cn3i,semodial semodial semodial,semodialis,0
100543,s1176,semustilo,v,v1spia--1-,semustil semustilau semustilat,semustilo,0
100545,s1209,seni,a,app---mn1-,sen sen sen,seni,0
100546,s1212,senilis,a,aps---cn3i,senil senil senil,senilis,0
100547,s1214,seniosus,a,aps---mn1-,senios senios senios,seniosus,0
100549,s1225,sensilis,a,aps---cn3i,sensil sensil sensil,sensilis,0
100550,s1242,sentinosus,a,aps---mn1-,sentinos sentinos sentinos,sentinosus,0
100552,s1244,sentis,n,n-s---fn3i,sent,sentis,0
100551,s1501,sentisco,v,v1spia--3-,sentisc - -,sentisco,0
100554,s1262,sepes,n,n-s---fn3i,sep,sepes,0
100555,s1264,sepiola,n,n-s---fn1-,sepiol,sepiola,0
100561,s8297,septifluus,a,aps---mn1-,septiflu septiflu septiflu,septifluus,0
100563,s1322,septuennis,a,aps---cn3i,septuenn septuenn septuenn,septuennis,0
100564,s1337,sequax,a,aps---an3i,sequac sequac sequac,sequax,0
100567,s1351,serarius,a,aps---mn1-,serari serari serari,serarius,0
100569,s1372,serisapia,n,n-s---fn1-,serisapi,serisapia,0
100570,s1375,serium,n,n-s---nn2-,seri,serium,0
100572,s1405,serrarius,n,n-s---mn2-,serrari,serrarius,0
100574,s1414,seruatio,n,n-s---fn3-,seruation,seruatio,0
100576,s1418,seruilis,a,aps---cn3i,seruil seruil seruil,seruilis,0
100578,s1432,seruus,a,aps---mn1-,seru seru seru,seruus,0
100580,s1439,sesceni,a,app---mn1-,sescen sescen sescen,sesceni,0
100581,s1441,sescenti,a,app---mn1-,sescent sescent sescent,sescenti,0
100584,s1459,sesquilibra,n,n-s---fn1-,sesquilibr,sesquilibra,0
100586,s1470,sesquipes,n,n-s---mn3-,sesquiped,sesquipes,0
100587,s1488,sessilis,a,aps---cn3i,sessil sessil sessil,sessilis,0
100589,s1499,sestertius,a,aps---mn1-,sesterti sesterti sesterti,sestertius,0
100591,s1508,seuir,n,n-s---mn2r,seuir,seuir,0
100595,s1522,sexennis,a,aps---cn3i,sexenn sexenn sexenn,sexennis,0
100597,s1529,sextadecimani,n,n-p---mn2-,sextadeciman,sextadecimani,0
100598,s1532,sextans,n,n-s---mn3i,sextant,sextans,0
114729,i2202,insusceptus,a,aps---mn1-,insuscept insuscept insuscept,insusceptus,0
100605,s8602,sigillaria,n,n-p---nn2-,sigillari,sigillaria,1
