id,uri,lemma,pos,morpho,principal_parts,irregular_forms,alternative_forms,pronunciation,prosody,validated
21805,c4078,corono,v,v1spia--1-,coron coronau coronat,,,[kɔˈroː.noː],corono,1
113054,i0310,imbractum,n,n-s---nn2-,imbract,,,['ɪm.bra.kt̪ũː],imbractum,0
21737,c9969,conuentus,n,n-s---mn4-,conuent,,,[kɔnˈwɛn.tʊs],conuentus,1
21794,21794,Corinthos,n,n-s---fn2g,Corinth,,,[kɔ.'rɪn̪.t̪ʰɔs],Corinthos,1
120001,120001,ossilegus,a,aps---mn1-,ossileg ossileg ossileg,,,['ɔs.sɪ.lɛgʷs],ossilegus,0
21832,c4164,coruus,n,n-s---mn2-,coru,,27404,[ˈkɔr.wʊs],coruus,1
21831,c4162,corusco,v,v1spia--1-,corusc coruscau coruscat,,,[kɔ.'rʊs.kɔ],corusco,1
21836,c4185,cosmos,n,n-s---mn2g,cosm,,27403,['kɔs.mɔs],cosmos,1
21813,c4102,correptio,n,n-s---fn3-,correption,,,[kɔr.'rɛp.t̪ɪ̣.jɔ],correptio,1
21814,c4104,correpto,v,v1spia--1-,corrept correptau correptat,,,[kɔr.'rɛp.t̪ɔ],correpto,1
21815,c4111,corrigo,v,v1spia--3-,corrig correx correct,,,[ˈkɔr.rɪ.ɡoː],corrigo,1
21816,c4112,corripio,v,v1spia--3i,corrip corripu corrept,,,[kɔrˈrɪ.pi.oː],corripio,1
21818,c4125,corrotundo,v,v1spia--1-,corrotund corrotundau corrotundat,,,[kɔr.rɔ.'t̪ʊn̪.d̪ɔ],corrotundo,1
21819,c4130,corrumpo,v,v1spia--3-,corrump corrup corrupt,,,[kɔrˈrʊm.poː],corrumpo,1
21820,c4131,corruo,v,v1spia--3-,corru corru corrut,,,[ˈkɔr.rʊ.oː],corruo,1
21821,c4132,corruptela,n,n-s---fn1-,corruptel,,,[kɔr.rʊpˈteː.ɫa],corruptela,1
21822,c4134,corruptibilitas,n,n-s---fn3-,corruptibilitat,,,[kɔr.rʊp.t̪ɪ.'bɪ.lɪ.t̪as],corruptibilitas,1
21823,c4136,corruptio,n,n-s---fn3-,corruption,,,[kɔrˈrʊp.ti.oː],corruptio,1
21824,c1344,corruptor,n,n-s---mn3-,corruptor,,,[kɔrˈrʊp.tɔr],corruptor,1
21826,c4142,corsa,n,n-s---fn1-,cors,,,['kɔr.sa],corsa,1
21809,c4091,corpus,n,n-s---nn3-,corpor,,,[ˈkɔr.pʊs],corpus,0
46194,46194,aluminium,n,n-s---nn2-,alumini,,,[a.ɫuːˈmɪ.ni.ũ],aluminium,0
46210,46210,angorio,v,v1spia--1-,angori angoriau angoriat,,,[aŋˈɡɔ.ri.oː],angorio,0
21825,21825,corruptus,a,aps---mn1-,corrupt corrupt corrupt,,,[kɔr.'rʊp.t̪ʊs],corruptus,1
21830,c4160,coruscatio,n,n-s---fn3-,coruscation,,,[kɔ.rʊsˈkaː.ti.oː],coruscatio,1
21837,c4205,cothurnus,n,n-s---mn2-,cothurn,,,[kɔˈtʰʊr.nʊs],cothurnus,1
21859,c4269,cratis,n,n-s---fn3i,crat,,,[ˈkraː.tɪs],cratis,1
21839,21839,cotoneum,n,n-s---nn2-,cotone,,,['kɔ.t̪ɔn̪ewm],cotoneum,1
21850,21850,crasse,r,rp--------,crass,,,['kras.sɛ],crasse,1
21838,c4217,coticula,n,n-s---fn1-,coticul,,,[kɔ.'t̪ɪ.kʊ.la],coticula,1
21841,c4222,couinnus,n,n-s---mn2-,couinn,,,[kɔ.'wɪn̪.n̪ʊs],couinnus,1
21856,21856,crastino,r,rp--------,,,,['kras.t̪ɪ.n̪ɔ],crastino,1
21842,c4228,coxa,n,n-s---fn1-,cox,,,[ˈkɔk.sa],coxa,1
21844,c4229,crabro,n,n-s---mn3-,crabron,,,/ˈkraː.broː/,crabro,1
21845,c4232,crambe,n,n-s---fn1g,cramb,,,/ˈkram.beː/,crambe,1
21846,c5232,cramum,n,n-s---nn2-,cram,,,[ˈkraː.mũ],cramum,1
21847,c4233,crapula,n,n-s---fn1-,crapul,,,[ˈkraː.pʊ.ɫa],crapula,1
21848,c4240,cras,r,rp--------,,,,/kraːs/,cras,1
21851,c4247,crassesco,v,v1spia--3-,crassesc - -,,,[kras.'sɛs.kɔ],crassesco,1
21852,c4251,crassities,n,n-s---fn5-,crassiti,,,[kras.'sɪ.t̪ɪ̣.jɛs],crassities,1
21853,c4252,crassitudo,n,n-s---fn3-,crassitudin,,,[kras.'sɪ.t̪ʊ.d̪ɔ],crassitudo,1
