25,140678,,,
586842,97965,180937,,,
586849,97965,175785,,,
586856,97965,172169,,,
586863,97965,171108,,,
586870,97965,170564,,,
586877,97965,171577,,,
586884,97965,175630,,,
586891,97965,181251,,,
586896,97968,174070,,,
586900,97968,180718,,,
586907,97968,179687,,,
586914,97968,172490,,,
586921,97968,174027,,,
586928,97968,172991,,,
586935,97968,177592,,,
586942,97968,170925,,,
586949,97968,174506,,,
586956,97968,177572,,,
586963,97968,174492,,,
586970,97968,180629,,,
586977,97968,176015,,,
586984,97968,180610,,,
586991,97968,176506,,,
586998,97968,170628,,,
587003,97968,179943,,,
587007,97968,175844,,,
587014,97968,171733,,,
587021,97968,178378,,,
587028,97968,180411,,,
587035,97968,174248,,,
587042,97968,169365,,,
587049,97968,181387,,,
587056,97968,181380,,,
587063,97968,172663,,,
587070,97968,171623,,,
587077,97968,181337,,,
587084,97968,169320,,,
587091,97968,179045,,,
587098,97968,175966,,,
587105,97968,176471,,,
587110,97968,178512,,,
587114,97968,172876,,,
587121,97968,178489,,,
587128,97968,172847,,,
587135,97968,170277,,,
587142,97968,170782,,,
587149,97968,177938,,,
587156,97968,170759,,,
587163,97968,175873,,,
587170,97968,173300,,,
587177,97968,178103,,,
587184,97968,177218,,,
587191,97968,171565,,,
587198,97968,180775,,,
587205,97968,177687,,,
587212,97968,180744,,,
587217,97968,174592,,,
587221,97971,189410,,,
587228,97971,193491,,,
587235,97971,184267,,,
587242,97971,195485,,,
587249,97971,195478,,,
587256,97971,191375,,,
587263,97971,191368,,,
587270,97971,191378,,,
587277,97971,186627,,,
587284,97971,193687,,,
587291,97971,188009,,,
587298,97971,182850,,,
587305,97972,179258,,,
587312,97972,177320,,,
587319,97974,181208,,,
587324,97974,178636,,,
587328,97974,174528,,,
587335,97974,179087,,,
587342,97974,174962,,,
587349,97974,173919,,,
587356,97974,176970,,,
587363,97974,171819,,,
587370,97974,181011,,,
587377,97974,176366,,,
587384,97974,180415,,,
587391,97974,178829,,,
587398,97974,179317,,,
587405,97974,178780,,,
587412,97974,180295,,,
587419,97974,173586,,,
587426,97974,175106,,,
587431,97975,170867,,,
587435,97975,179939,,,
587442,97975,172886,,,
587449,97975,170185,,,
587456,97975,174519,,,
587463,97975,178353,,,
587470,97975,175640,,,
587477,97975,178306,,,
587484,97985,173044,,,
