,lamentatio,n,1,n-s---fn3-,lamentation,lamentatio
120179,120179,palans,a,0,aps---an3i,palant palant palant,palans
25082,m1103,miseratio,n,1,n-s---fn3-,miseration,miseratio
25083,25083,misere,r,1,rp--------,,misere
25084,m1107,miseria,n,1,n-s---fn1-,miseri,miseria
25088,m9994,missa,n,1,n-s---fn1-,miss,missa
25089,m1120,missile,n,1,n-s---nn3i,missil,missile
25090,m1121,missio,n,1,n-s---fn3-,mission,missio
25091,m9994,missus,n,1,n-s---mn4-,miss,missus
25092,m1135,mitigo,v,1,v1spia--1-,mitig mitigau mitigat,mitigo
25093,m1137,mitis,a,1,aps---cn3i,mit mit mit,mitis
25094,m1138,mitra,n,1,n-s---fn1-,mitr,mitra
25096,m1150,mixtio,n,1,n-s---fn3-,mixtion,mixtio
25097,m1154,mnemosynum,n,1,n-s---nn2-,mnemosyn,mnemosynum
25099,m1157,mobilitas,n,1,n-s---fn3-,mobilitat,mobilitas
25102,m1163,moderatio,n,1,n-s---fn3-,moderation,moderatio
25103,m1164,moderator,n,1,n-s---mn3-,moderator,moderator
25100,25100,mobiliter,r,1,rp--------,mobil,mobiliter
25105,m1166,modernus,a,1,aps---mn1-,modern modern modern,modernus
25104,25104,moderatus,a,1,aps---mn1-,moderat moderat moderat,moderatus
25108,m1168,modestia,n,1,n-s---fn1-,modesti,modestia
25106,25106,modero,v,1,v1spia--1-,moder - moderat,modero
25109,m1169,modestus,a,1,aps---mn1-,modest modest modest,modestus
25110,m1174,modicus,a,1,aps---mn1-,modic modic modic,modicus
25112,m9610,modo,r,1,rp--------,,modo
25114,m1185,modulatio,n,1,n-s---fn3-,modulation,modulatio
25113,25113,modulate,r,1,rp--------,modulat,modulate
25115,m1186,modulator,n,1,n-s---mn3-,modulator,modulator
25117,m1190,modus,n,1,n-s---mn2-,mod,modus
25118,m1199,moecha,n,1,n-s---fn1-,moech,moecha
25119,m1199,moechus,n,1,n-s---mn2-,moech,moechus
25120,m1203,mola,n,1,n-s---fn1-,mol,mola
25122,m1214,molestia,n,1,n-s---fn1-,molesti,molestia
25124,m1220,molimentum,n,1,n-s---nn2-,moliment,molimentum
25125,m1221,molinarius,n,1,n-s---mn2-,molinari,molinarius
25128,m1236,mollio,v,1,v1spia--4-,moll molliu mollit,mollio
25129,m1238,mollis,a,1,aps---cn3i,moll moll moll,mollis
25132,m1241,mollitudo,n,1,n-s---fn3-,mollitudin,mollitudo
25130,25130,molliter,r,1,rp--------,moll,molliter
25146,25146,monosyllabon,n,1,n-s---nn2-,monosyllab,monosyllabon
25133,m1262,momen,n,1,n-s---nn3-,momin,momen
25135,m1268,momentum,n,1,n-s---nn2-,moment,momentum
25136,m1276,monarchia,n,1,n-s---fn1-,monarchi,monarchia
25137,m1282,monasterium,n,1,n-s---nn2-,monasteri,monasterium
25138,m1292,moneo,v,1,v1spia--2-,mon monu monit,moneo
25139,m1293,moneta,n,1,n-s---fn1-,monet,moneta
25141,m1298,monitio,n,1,n-s---fn3-,monition,monitio
25142,m1300,monitor,n,1,n-s---mn3-,monitor,monitor
25143,m9797,monitus,n,1,n-s---mn4-,monit,monitus
25147,m1344,mons,n,1,n-s---mn3i,mont,mons
113097,i0361,immemoria,n,0,n-s---fn1-,immemori,immemoria
25073,25073,mirabiliter,r,1,rp--------,mirabil,mirabiliter
25209,m1711,munditia,n,1,n-s---fn1-,munditi,munditia
25210,m1713,mundo,v,1,v1spia--1-,mund mundau mundat,mundo
25212,m1715,mundus,a,1,aps---mn1-,mund mund mund,mundus
25211,m1717,mundus,n,1,n-s---mn2-,mund,mundus
25214,m1737,munificentia,n,1,n-s---fn1-,munificenti,munificentia
25215,m1741,munimen,n,1,n-s---nn3-,munimin,munimen
25216,m1742,munimentum,n,1,n-s---nn2-,muniment,munimentum
25217,m1743,munio,v,1,v1spia--4-,mun muniu munit,munio
25218,m1745,munitio,n,1,n-s---fn3-,munition,munitio
25219,m1751,munus,n,1,n-s---nn3-,muner,munus
25223,m1776,murmuratio,n,1,n-s---fn3-,murmuration,murmuratio
25301,n0176,negator,n,1,n-s---mn3-,negator,negator
104698,c1373,chamaestrotus,a,0,aps---mn1-,chamaestrot chamaestrot chamaestrot,chamaestrotus
25161,m1395,mordeo,v,1,v1spia--2-,mord momord mors,mordeo
25150,m1354,monstro,v,1,v1spia--1-,monstr monstrau monstrat,monstro
105461,c2587,comitatensis,a,0,aps---cn3i,comitatens comitatens comitatens,comitatensis
25151,m1357,monstrum,n,1,n-s---nn2-,monstr,monstrum
25153,m0930,monumentum,n,1,n-s---nn2-,monument,monumentum
25158,m1391,morbosus,a,1,aps---mn1-,morbos morbos morbos,morbosus
25159,m1392,morbus,n,1,n-s---mn2-,morb,morbus
25160,m1394,mordax,a,1,aps---an3i,mordac mordac mordac,mordax
120186,120186,palatim,r,0,rp--------,,palatim
25163,m1409,morio,n,1,n-s---mn3-,morion,morio
25166,m1417,morositas,n,1,n-s---fn3-,morositat,morositas
25167,m1420,mors,n,1,n-s---fn3i,mort,mors
25170,m1427,mortalitas,n,1,n-s---fn3-,mortalitat,mortalitas
25173,m1441,morum,n,1,n-s---nn2-,mor,morum
105554,c2743,communicatorius,a,0,aps---mn1-,communicatori communicatori communicatori,communicatorius
108026,d2015,diuersicolorus,a,0,aps---mn1-,diuersicolor diuersicolor diuersicolor,diuersicolorus
110249,f0023,fabrificatio,n,0,n-s---fn3-,fabrification,fabrificatio
25154,m1374,mora,n,1,n-s---fn1-,mor,mora
25155,m1376,moralis,a,1,aps---cn3i,moral moral moral,moralis
25156,m1377,moralitas,n,1,n-s---fn3-,moralitat,moralitas
25197,m1654,multiloquium,n,1,n-s---nn2-,multiloqui,multiloquium
25199,m1667,multiplicatio,n,1,n-s---fn3-,multiplication,multiplicatio
25201,m1671,multiplico,v,1,v1spia--1-,multiplic multiplicau multiplicat,multiplico
25202,m1684,multitudo,n,1,n-s---fn3-,multitudin,multitudo
25203,m1693,multo,v,1,v1spia--1-,mult multau multat,multo
25206,m1695,multus,a,1,aps---mn1-,mult mult mult,multus
113725,i1092,incorruptibilis,a,0,aps---cn3i,incorruptibil incorruptibil incorruptibil,incorruptibilis
115340,i2843,irreprehensibilis,a,0,aps---cn3i,irreprehensibil irreprehensibil irreprehensibil,irreprehensibilis
117074,m0385,margaritifer,a,0,aps---mn1r,margaritifer margaritifer margaritifer,margaritifer
117208,m0540,medicamentarius,a,0,aps---mn1-,medicamentari medicamentari medicamentari,medicamentarius
117959,m1372,monumentarius,a,0,aps---mn1-,monumentari monumentari monumentari,monumentarius
121917,p2095,pinguities,n,0,n-s---fn5-,pinguiti,pinguities
25162,25162,mordicus,r,1,rp--------,,mordicus
25221,m1761,muria,n,1,n-s---fn1-,muri,muria
107202,107202,densetus,a,0,aps---mn1-,denset denset denset,densetus
25204,25204,multo,r,1,rp--------,,multo
25205,25205,multum,r,1,rp--------,plus plurimum,multum
113172,113172,impassionabilis,a,0,aps---cn3i,impassionabil impassionabil impassionabil,impassionabilis
25222,m1774,murmur,n,1,n-s---nn3-,murmur,murmur
120188,120188,palatus,a,0,aps---mn1-,palat palat palat,palatus
25227,m1804,mus,n,1,n-s---mn3-,mur,mus
120189,120189,palatus,n,0,n-s---mn2-,palat,palatus
25229,m1807,musca,n,1,n-s---fn1-,musc,musca
25230,m1816,musculus,n,1,n-s---mn2-,muscul,musculus
25231,m1818,muscus,n,1,n-s---mn2-,musc,muscus
25234,25234,mustella,n,1,n-s---fn1-,mustell,mustella
25239,25239,muto,n,1,n-s---mn3-,muton,muto
25235,m1847,mutabilis,a,1,aps---cn3i,mutabil mutabil mutabil,mutabilis
25237,m1850,mutatio,n,1,n-s---fn3-,mutation,mutatio
25238,m1857,mutilo,v,1,v1spia--1-,mutil mutilau mutilat,mutilo
25260,n0053,nasus,n,1,n-s---mn2-,nas,nasus
25240,m1864,muto,v,1,v1spia--1-,mut mutau mutat,muto
25241,m1866,muttio,v,1,v1spia--4-,mutt muttiu muttit,muttio
121923,121923,pinnoteres,n,0,n-s---mn1-,pinnoter,pinnoteres
25248,25248,Naias,n,0,n-s---fn3-,Naiad,Naias
25247,m1933,mysterium,n,1,n-s---nn2-,mysteri,mysterium
25228,25228,musa,n,1,n-s---fn1-,mus,musa
121924,p2107,pinnus,a,1,aps---mn1-,pinn pinn pinn,pinnus
25250,n0010,nanus,n,1,n-s---mn2-,nan,nanus
25288,25288,necessarie,r,1,rp--------,necessari,necessarie
25255,n9036,narratio,n,1,n-s---fn3-,narration,narratio
25256,n9765,narratus,n,1,n-s---mn4-,narrat,narratus
25257,n0039,narro,v,1,v1spia--1-,narr narrau narrat,narro
25259,n0048,nassa,n,1,n-s---fn1-,nass,nassa
25261,n0088,nata,n,1,n-s---fn1-,nat,nata
25263,n9766,natatus,n,1,n-s---mn4-,natat,natatus
25264,n0065,natio,n,1,n-s---fn3-,nation,natio
25266,n0067,natiuitas,n,1,n-s---fn3-,natiuitat,natiuitas
25267,n0068,natiuus,a,1,aps---mn1-,natiu natiu natiu,natiuus
25268,n0069,nato,v,1,v1spia--1-,nat natau natat,nato
25291,25291,necesse,a,1,aps---n---,-,necesse
25269,n0071,natura,n,1,n-s---fn1-,natur,natura
25272,n0086,naufragium,n,1,n-s---nn2-,naufragi,naufragium
25277,n0096,nauigatio,n,1,n-s---fn3-,nauigation,nauigatio
25278,n0101,nauigium,n,1,n-s---nn2-,nauigi,nauigium
25280,n0103,nauis,n,1,n-s---fn3i,nau,nauis
25244,25244,myrica,n,1,n-s---fn1-,myric,myrica
25245,25245,Myrrha,n,1,n-s---fn1-,Myrrh,Myrrha
25283,25283,Nazarenus,a,1,aps---mn1-,Nazaren Nazaren Nazaren,Nazarenus
25273,n0113,nausea,n,1,n-s---fn1-,nause,nausea
25251,25251,naphtha,n,1,n-s---fn1-,naphth,naphtha
25275,n0126,nauticus,a,1,aps---mn1-,nautic nautic nautic,nauticus
25254,25254,naris,n,1,n-s---fn3i,nar,naris
25285,n0135,nebula,n,1,n-s---fn1-,nebul,nebula
25226,m1803,murus,n,1,n-s---mn2-,mur,murus
25271,25271,natus,a,1,aps---mn1-,nat nat nat,natus
25289,n0141,necessarius,n,1,n-s---mn2-,necessari,necessarius
25292,n0146,necessitas,n,1,n-s---fn3-,necessitat,necessitas
25293,n0147,necessitudo,n,1,n-s---fn3-,necessitudin,necessitudo
25294,n0151,neco,v,1,v1spia--1-,nec necu nect,neco
25281,25281,nauita,n,1,n-s---mn1-,nauit,nauita
25282,25282,nauiter,r,1,rp--------,,nauiter
25286,25286,nec,r,1,rp--------,,nec
25296,n0152,necopinus,a,1,aps---mn1-,necopin necopin necopin,necopinus
25298,n0160,necto,v,1,v1spia--3-,nect nex nex,necto
25299,n0163,nefandus,a,1,aps---mn1-,nefand nefand nefand,nefandus
25300,n0174,negatio,n,1,n-s---fn3-,negation,negatio
25225,m0934,murra,n,1,n-s---fn1-,murr,murra
25279,n0102,nauigo,v,0,v1spia--1-,nauig nauigau nauigat,nauigo
25305,n0184,neglego,v,1,v1spia--3-,negleg neglex neglect,neglego
124994,r0358,remansor,n,0,n-s---mn3-,remansor,remansor
25306,n0185,nego,v,1,v1spia--1-,neg negau negat,nego
25307,n0187,negotiatio,n,1,n-s---fn3-,negotiation,negotiatio
25308,n0196,negotium,n,1,n-s---nn2-,negoti,negotium
25309,n0207,nemus,n,1,n-s---nn3-,nemor,nemus
25310,n0211,neo,v,1,v1spia--2-,n neu net,neo
25312,n0215,neophytus,n,1,n-s---mn2-,neophyt,neophytus
25313,n0218,nepa,n,1,n-s---fn1-,nep,nepa
120213,120213,palmatorium,n,0,n-s---nn2-,palmatori,palmatorium
25318,n0234,nequiter,r,1,rp--------,nequ,nequiter
124995,r1199,remastico,v,0,v1spia--1-,remastic remasticau remastica,remastico
25322,n0250,nescius,a,1,aps---mn1-,nesci nesci nesci,nescius
25323,n0264,nex,n,1,n-s---fn3-,nec,nex
25321,n0247,neruus,n,1,n-s---mn2-,neru,neruus
25332,25332,nimium,r,1,rp--------,,nimium
25324,n0283,nidor,n,1,n-s---mn3-,nidor,nidor
25326,n0291,niger,a,1,aps---mn1r,nigr nigr nigr,niger
25328,n0309,nimbus,n,1,n-s---mn2-,nimb,nimbus
25329,n0310,nimietas,n,1,n-s---fn3-,nimietat,nimietas
25330,n9811,nimirum,r,1,rp--------,,nimirum
25325,n0288,nidus,n,1,n-s---mn2-,nid,nidus
25331,n0311,nimis,r,1,rp--------,,nimis
25333,n0315,ninguis,n,1,n-s---fn3i,ningu,ninguis
25320,25320,Nero,n,1,n-s---mn3-,Neron,Nero
25336,n9323,nitor,n,1,n-s---mn3-,nitor,nitor
25338,n0440,nix,n,1,n-s---fn3i,niu,nix
25340,n0303,nixus,n,1,n-s---mn4-,nix,nixus
25341,n0444,no,v,1,v1spia--1-,n neu net,no
25342,n0446,nobilitas,n,1,n-s---fn3-,nobilitat,nobilitas
25347,25347,Nomas,n,1,n-s---mn3-,Nomad,Nomas
25343,n0451,nociuus,a,1,aps---mn1-,nociu nociu nociu,nociuus
25344,n0458,noctiluca,n,1,n-s---fn1-,noctiluc,noctiluca
25346,n0482,nodus,n,1,n-s---mn2-,nod,nodus
25348,n0492,nomen,n,1,n-s---nn3-,nomin,nomen
25349,n0495,nomenclatura,n,1,n-s---fn1-,nomenclatur,nomenclatura
25303,25303,neglegens,a,1,aps---an3i,neglegent neglegent neglegent,neglegens
25350,n0500,nominatio,n,1,n-s---fn3-,nomination,nominatio
25352,n0504,nominito,v,1,v1spia--1-,nominit nominitau nominitat,nominito
25353,n0505,nomino,v,1,v1spia--1-,nomin nominau nominat,nomino
25354,n0506,nomisma,n,1,n-s---nn3-,nomismat,nomisma
25355,n9508,non,r,1,rp--------,,non
25356,n9815,nonnumquam,r,1,rp--------,,nonnumquam
25357,n0525,norma,n,1,n-s---fn1-,norm,norma
25358,n0534,nosco,v,1,v1spia--3-,nosc nou not,nosco
25360,n0537,nota,n,1,n-s---fn1-,not,nota
25361,n0541,notarius,n,1,n-s---mn2-,notari,notarius
25362,n0545,nothus,a,1,aps---mn1-,noth noth noth,nothus
25363,n0550,notitia,n,1,n-s---fn1-,notiti,notitia
25364,n0552,noto,v,1,v1spia--1-,not notau notat,noto
25366,n0049,nouacula,n,1,n-s---fn1-,nouacul,nouacula
25315,25315,Neptunus,n,1,n-s---mn2-,Neptun,Neptunus
25367,n0558,nouale,n,1,n-s---nn3i,noual,nouale
25365,55561,notus,a,1,aps---mn1-,not not not,notus
25368,n0577,nouerca,n,1,n-s---fn1-,nouerc,nouerca
25370,n0583,nouilunium,n,1,n-s---nn2-,nouiluni,nouilunium
25372,n0585,nouitas,n,1,n-s---fn3-,nouitat,nouitas
25371,25371,nouissime,r,1,rp--------,,nouissime
98830,i0367,immensum,n,0,n-s---nn2-,immens,immensum
124997,r0360,remeaculum,n,0,n-s---nn2-,remeacul,remeaculum
25409,n0720,nutrio,v,1,v1spia--4-,nutr - nutrit,nutrio
113102,i0366,immensuratus,a,0,aps---mn1-,immensurat immensurat immensurat,immensuratus
113103,i0368,immeo,v,0,v1spia--1-,imme immeau immea,immeo
25373,25373,nouiter,r,1,rp--------,,nouiter
120271,120271,pancratiasta,n,0,n-s---mn1-,pancratiast,pancratiasta
25376,n0588,nox,n,1,n-s---fn3i,noct,nox
25377,n0589,noxa,n,1,n-s---fn1-,nox,noxa
120359,120359,paradiastole,n,0,n-s---fn1g,paradiastol,paradiastole
25379,n0591,noxiosus,a,1,aps---mn1-,noxios noxios noxios,noxiosus
25380,n0594,noxius,a,1,aps---mn1-,noxi noxi noxi,noxius
25383,n0604,nubilus,a,1,aps---mn1-,nubil nubil nubil,nubilus
25384,n0606,nubo,v,1,v1spia--3-,nub nups nupt,nubo
25385,n0613,nucifrangibulum,n,1,n-s---nn2-,nucifrangibul,nucifrangibulum
25386,n0618,nucleus,n,1,n-s---mn2-,nucle,nucleus
25387,n0624,nuditas,n,1,n-s---fn3-,nuditat,nuditas
25388,n0627,nudo,v,1,v1spia--1-,nud nudau nudat,nudo
25389,n0629,nudus,a,1,aps---mn1-,nud nud nud,nudus
25390,n0651,numen,n,1,n-s---nn3-,numin,numen
25393,n0659,numero,r,1,rp--------,,numero
25392,n0658,numero,v,1,v1spia--1-,numer numerau numerat,numero
25394,n0660,numerositas,n,1,n-s---fn3-,numerositat,numerositas
25395,n0661,numerosus,a,1,aps---mn1-,numeros numeros numeros,numerosus
25396,n0662,numerus,n,1,n-s---mn2-,numer,numerus
25397,n0669,nummus,n,1,n-s---mn2-,numm,nummus
25399,n0676,nuncupo,v,1,v1spia--1-,nuncup nuncupau nuncupat,nuncupo
25401,n0689,nuntio,v,1,v1spia--1-,nunti nuntiau nuntiat,nuntio
25402,n0347,nuntium,n,1,n-s---nn2-,nunti,nuntium
25403,n0346,nuntius,n,1,n-s---mn2-,nunti,nuntius
25404,n0692,nuper,r,1,rp--------,nuper,nuper
25407,n0718,nutrimen,n,1,n-s---nn3-,nutrimin,nutrimen
25408,n0719,nutrimentum,n,1,n-s---nn2-,nutriment,nutrimentum
25410,n0725,nutus,n,1,n-s---mn4-,nut,nutus
25412,o0013,obarmo,v,1,v1spia--1-,obarm obarmau obarmat,obarmo
25413,o0025,obdo,v,1,v1spia--3-,obd obdid obdit,obdo
25414,o0194,obdormisco,v,1,v1spia--3-,obdormisc - -,obdormisco
25415,o0028,obduco,v,1,v1spia--3-,obduc obdux obduct,obduco
25416,o0029,obductio,n,1,n-s---fn3-,obduction,obductio
25417,o9036,obduro,v,1,v1spia--1-,obdur obdurau obdurat,obduro
25418,o0037,obeliscus,n,1,n-s---mn2-,obelisc,obeliscus
25421,o0046,obex,n,1,n-s---cn3-,obic,obex
25422,o0052,obicio,v,1,v1spia--3i,obic objec object,obicio
25378,25378,noxia,n,1,n-s---fn1-,noxi,noxia
25423,o0063,obiter,r,1,rp--------,,obiter
25424,o9990,obitus,n,1,n-s---mn4-,obit,obitus
25425,o0074,oblatio,n,1,n-s---fn3-,oblation,oblatio
25427,o0083,oblectamentum,n,1,n-s---nn2-,oblectament,oblectamentum
25428,o0087,oblecto,v,1,v1spia--1-,oblect oblectau oblectat,oblecto
25429,o0091,oblido,v,1,v1spia--3-,oblid oblis oblis,oblido
25430,o0092,obligatio,n,1,n-s---fn3-,obligation,obligatio
25431,o0094,obligo,v,1,v1spia--1-,oblig obligau obligat,obligo
25434,o0110,obliuio,n,1,n-s---fn3-,obliuion,obliuio
25435,o0111,obliuiosus,a,1,aps---mn1-,obliuios obliuios obliuios,obliuiosus
25437,o0113,obliuium,n,1,n-s---nn2-,obliui,obliuium
113100,i0364,immensurabilis,a,0,aps---cn3i,immensurabil immensurabil immensurabil,immensurabilis
113101,i0365,immensuratim,r,0,rp--------,,immensuratim
124998,r0361,remeatio,n,0,n-s---fn3-,remeation,remeatio
124999,r1191,remeatus,n,0,n-s---mn4-,remeat,remeatus
25450,25450,obscene,r,1,rp--------,obscen,obscene
120398,120398,parapaestus,n,0,n-s---mn2-,parapaest,parapaestus
25442,o0151,obnubilo,v,1,v1spia--1-,obnubil obnubilau obnubilat,obnubilo
25476,25476,obstinate,r,1,rp--------,,obstinate
25443,o0152,obnubo,v,1,v1spia--3-,obnub obnups obnupt,obnubo
25448,o0182,obruo,v,1,v1spia--3-,obru obru obrut,obruo
25478,25478,obstinatus,a,1,aps---mn1-,obstinat obstinat obstinat,obstinatus
25449,o0187,obsaepio,v,1,v1spia--4-,obsaep obsaeps obsaept,obsaepio
25451,o0195,obscenitas,n,1,n-s---fn3-,obscenitat,obscenitas
25452,o0609,obscenus,a,1,aps---mn1-,obscen obscen obscen,obscenus
25453,o0201,obscuritas,n,1,n-s---fn3-,obscuritat,obscuritas
25454,o0202,obscuro,v,1,v1spia--1-,obscur obscurau obscurat,obscuro
25455,o0203,obscurus,a,1,aps---mn1-,obscur obscur obscur,obscurus
25456,o0204,obsecratio,n,1,n-s---fn3-,obsecration,obsecratio
25459,o0217,obsequium,n,1,n-s---nn2-,obsequi,obsequium
98831,i0369,immerens,a,0,aps---an3i,immerent immerent immerent,immerens
25498,25498,obtusus,a,1,aps---mn1-,obtus obtus obtus,obtusus
25462,o0229,obseruo,v,1,v1spia--1-,obseru obseruau obseruat,obseruo
25464,o0231,obsessio,n,1,n-s---fn3-,obsession,obsessio
114662,i2133,institium,n,0,n-s---nn2-,institi,institium
25465,o0232,obsessor,n,1,n-s---mn3-,obsessor,obsessor
25466,o0236,obsideo,v,1,v1spia--2-,obsid - -,obsideo
25469,o0243,obsido,v,1,v1spia--3-,obsid - -,obsido
25470,o0246,obsigno,v,1,v1spia--1-,obsign obsignau obsignat,obsigno
25463,o0230,obses,n,1,n-s---cn3-,obsid,obses
25471,o0256,obsonium,n,1,n-s---nn2-,obsoni,obsonium
25473,o0260,obstaculum,n,1,n-s---nn2-,obstacul,obstaculum
25480,o0285,obstruo,v,1,v1spia--3-,obstru obstrux obstruct,obstruo
25481,o0287,obstupefacio,v,1,v1spia--3i,obstupefac obstupefec obstupefact,obstupefacio
25483,o0295,obtego,v,1,v1spia--3-,obteg obtex obtect,obtego
25484,o0298,obtendo,v,1,v1spia--3-,obtend obtend obtent,obtendo
25486,o9994,obtentus,n,1,n-s---mn4-,obtent,obtentus
25487,o0302,obtero,v,1,v1spia--3-,obter obtriu obtrit,obtero
25488,o0303,obtestatio,n,1,n-s---fn3-,obtestation,obtestatio
25490,o0305,obtexo,v,1,v1spia--3-,obtex - -,obtexo
25491,o0309,obtineo,v,1,v1spia--2-,obtin obtinu obtent,obtineo
25492,o0310,obtingo,v,1,v1spia--3-,obting obtig -,obtingo
25493,o0316,obtrectatio,n,1,n-s---fn3-,obtrectation,obtrectatio
25495,o0322,obtrunco,v,1,v1spia--1-,obtrunc obtruncau obtruncat,obtrunco
25496,o0324,obtundo,v,1,v1spia--3-,obtund obtud obtus,obtundo
25497,o0331,obturo,v,1,v1spia--1-,obtur obturau obturat,obturo
25500,o9344,obuio,v,1,v1spia--1-,obui obuiau obuiat,obuio
25499,o9350,obumbro,v,1,v1spia--1-,obumbr obumbrau obumbrat,obumbro
25501,o0356,obuoluo,v,1,v1spia--3-,obuolu obuolu obuolut,obuoluo
25502,o0364,occaeco,v,1,v1spia--1-,occaec occaecau occaecat,occaeco
25503,o0370,occasio,n,1,n-s---fn3-,occasion,occasio
25504,o0384,occidio,n,1,n-s---fn3-,occidion,occidio
25506,o0392,occipio,v,1,v1spia--3i,occip occep occept,occipio
25507,o0393,occipitium,n,1,n-s---nn2-,occipiti,occipitium
25508,o0395,occisio,n,1,n-s---fn3-,occision,occisio
25509,o0407,occulo,v,1,v1spia--3-,occul occulu occult,occulo
25461,o0225,obseruatio,n,1,n-s---fn3-,obseruation,obseruatio
25515,25515,Oceanus,n,1,n-s---mn2-,Ocean,Oceanus
125001,r0364,remediatio,n,0,n-s---fn3-,remediation,remediatio
25528,25528,odoratus,a,1,aps---mn1-,odorat odorat odorat,odoratus
25512,o0414,occupatio,n,1,n-s---fn3-,occupation,occupatio
25513,o0417,occupo,v,1,v1spia--1-,occup occupau occupat,occupo
25514,o9710,occursus,n,1,n-s---mn4-,occurs,occursus
25516,o0431,ocellus,n,1,n-s---mn2-,ocell,ocellus
120423,120423,parastaticus,a,0,aps---mn1-,parastatic parastatic parastatic,parastaticus
25518,o0438,ocrea,n,1,n-s---fn1-,ocre,ocrea
25520,o0502,oculus,n,1,n-s---mn2-,ocul,oculus
25521,o0508,odi,v,1,v1sria--3-,- od os,odi
25524,o0513,odium,n,1,n-s---nn2-,odi,odĭum
25554,o0682,olor,n,1,n-s---mn3-,olor,olor
25578,25578,opipare,r,1,rp--------,,opipare
25527,o0519,odoramentum,n,1,n-s---nn2-,odorament,odoramentum
25525,o0516,odor,n,1,n-s---mn3-,odor,odor
25529,o0523,odorifer,a,1,aps---mn1r,odorifer odorifer odorifer,odorifer
25530,o0526,odoro,v,1,v1spia--1-,odor - odorat,odoro
25531,o0527,odorus,a,1,aps---mn1-,odor odor odor,odorus
25533,o0529,oeconomicus,a,1,aps---mn1-,oeconomic oeconomic oeconomic,oeconomicus
25534,o0551,ofella,n,1,n-s---fn1-,ofell,ofella
25535,o0558,offendiculum,n,1,n-s---nn2-,offendicul,offendiculum
25536,o0562,offendo,v,1,v1spia--3-,offend offend offens,offendo
25537,o9987,offensa,n,1,n-s---fn1-,offens,offensa
25539,o9987,offensus,n,1,n-s---mn4-,offens,offensus
25541,o0574,offertorium,n,1,n-s---nn2-,offertori,offertorium
25542,o0578,officina,n,1,n-s---fn1-,officin,officina
25543,o0583,officiosus,a,1,aps---mn1-,officios officios officios,officiosus
25544,o0585,officium,n,1,n-s---nn2-,offici,officium
25546,o0590,offoco,v,1,v1spia--1-,offoc offocau offocat,offoco
25547,o0593,offucia,n,1,n-s---fn1-,offuci,offucia
25548,o0617,olea,n,1,n-s---fn1-,ole,olea
25549,o0617,oleum,n,1,n-s---nn2-,ole,oleum
25551,o0650,olfacto,v,1,v1spia--1-,olfact olfactau olfactat,olfacto
25552,o0148,oliua,n,1,n-s---fn1-,oliu,oliua
25553,o0672,olla,n,1,n-s---fn1-,oll,olla
25557,o0692,omentum,n,1,n-s---nn2-,oment,omentum
25559,o0699,omitto,v,1,v1spia--3-,omitt omis omiss,omitto
25560,o0714,omnino,r,1,rp--------,,omnino
25563,o0747,onero,v,1,v1spia--1-,oner onerau onerat,onero
25564,o0758,onocrotalus,n,1,n-s---mn2-,onocrotal,onocrotalus
25565,o0768,onus,n,1,n-s---nn3-,oner,onus
25566,o0777,opaco,v,1,v1spia--1-,opac opacau opacat,opaco
25568,o0785,operatio,n,1,n-s---fn3-,operation,operatio
25569,o0789,operculum,n,1,n-s---nn2-,opercul,operculum
25571,o0792,operio,v,1,v1spia--4-,oper operu opert,operio
25573,o0815,opifex,n,1,n-s---cn3-,opific,opifex
25575,o0822,opimus,a,1,aps---mn1-,opim opim opim,opimus
25576,o0828,opinio,n,1,n-s---fn3-,opinion,opinio
25580,o0845,opium,n,1,n-s---nn2-,opi,opium
25581,o0807,oppansum,n,1,n-s---nn2-,oppans,oppansum
25584,o0867,oppido,r,1,rp--------,,oppido
25585,o0868,oppidulum,n,1,n-s---nn2-,oppidul,oppidulum
25587,o0875,oppleo,v,1,v1spia--2-,oppl oppleu opplet,oppleo
25526,o0518,odoramen,n,1,n-s---nn3-,odoramin,odoramen
