991,submutatio,n,0,n-s---fn3-,submutation,submutatio
128802,s3468,superaceruo,v,0,v1spia--1-,superaceru superaceruau superacerua,superaceruo
128803,s3470,superactus,a,0,aps---mn1-,superact superact superact,superactus
128804,s3472,superadhibeo,v,0,v1spia--2-,,superadhibeo
128805,s3473,superadicio,v,0,v1spia--3i,superadic superadiec -,superadicio
128809,s3474,superadnecto,v,0,v1spia--3-,superadnect superadnexu -,superadnecto
128813,s3476,superadultus,a,0,aps---mn1-,superadult superadult superadult,superadultus
128816,s3477,superaedificatio,n,0,n-s---fn3-,superaedification,superaedificatio
128817,s3479,superaggero,v,0,v1spia--1-,superagger superaggerau superaggera,superaggero
128818,s3480,superalligo,v,0,v1spia--1-,superallig superalligau superalliga,superalligo
128820,s3481,superambulo,v,0,v1spia--1-,superambul superambulau superambula,superambulo
128821,s3482,superamentum,n,0,n-s---nn2-,superament,superamentum
128823,s3483,superappareo,v,0,v1spia--2-,,superappareo
128825,s3485,superappono,v,0,v1spia--3-,superappon - superapposit,superappono
100082,p2885,praecordia,n,0,n-p---nn2-,praecordi,praecordia
128838,128838,superauratus,a,0,aps---mn1-,superaurat superaurat superaurat,superauratus
128841,128841,superbiter,r,0,rp--------,,superbiter
128846,128846,supercano,v,0,v1spia--3-,,supercano
128848,128848,supercerno,v,0,v1spia--3-,,supercerno
128850,128850,supercingo,v,0,v1spia--3-,,supercingo
128852,128852,superclaudo,v,0,v1spia--3-,,superclaudo
128853,128853,supercoelestis,a,0,aps---cn3i,supercoelest supercoelest supercoelest,supercoelestis
128833,s3488,superatio,n,0,n-s---fn3-,superation,superatio
128854,128854,supercompono,v,0,v1spia--3-,,supercompono
128855,128855,superconcido,v,0,v1spia--3-,,superconcido
128856,128856,supercontego,v,0,v1spia--3-,superconteg supercontex -,supercontego
128858,128858,supercorruo,v,0,v1spia--3-,,supercorruo
128863,128863,superdatus,a,0,aps---mn1-,superdat superdat superdat,superdatus
128865,128865,superdestilio,v,0,v1spia--1-,superdestili superdestiliau superdestilia,superdestilio
128869,128869,superductus,a,0,aps---mn1-,superduct superduct superduct,superductus
128873,128873,supereffulgeo,v,0,v1spia--2-,,supereffulgeo
128877,128877,supereminens,a,0,aps---an3i,supereminent supereminent supereminent,supereminens
128882,128882,supererectus,a,0,aps---mn1-,supererect supererect supererect,supererectus
128887,128887,superexcresco,v,0,v1spia--3-,,superexcresco
128834,s3490,superatrix,n,0,n-s---fn3-,superatric,superatrix
128835,s3491,superattraho,v,0,v1spia--3-,,superattraho
128837,s3492,superaugmentum,n,0,n-s---nn2-,superaugment,superaugmentum
128839,s3494,superbibo,v,0,v1spia--3-,superbib superbib -,superbibo
128843,s3501,supercado,v,0,v1spia--3-,supercad supercecid -,supercado
128844,s3502,supercaelestis,a,0,aps---cn3i,supercaelest supercaelest supercaelest,supercaelestis
128845,s3503,supercalco,v,0,v1spia--1-,supercalc supercalcau supercalca,supercalco
128847,s3504,supercedo,v,0,v1spia--3-,superced supercess -,supercedo
128849,s3505,supercerto,v,0,v1spia--1-,supercert supercertau supercertat,supercerto
128851,s3508,supercino,v,0,v1spia--3-,,supercino
128857,s3510,supercorrigo,v,0,v1spia--3-,,supercorrigo
128860,s3512,supercresco,v,0,v1spia--3-,supercresc supercreu -,supercresco
128861,s3513,supercubo,v,0,v1spia--1-,supercub supercubau supercubat,supercubo
128864,s3516,superdeligo,v,0,v1spia--1-,superdelig superdeligau superdeliga,superdeligo
128866,s3517,superdestillo,v,0,v1spia--1-,superdestill superdestillau superdestillat,superdestillo
128867,s3519,superdimidius,a,0,aps---mn1-,superdimidi superdimidi superdimidi,superdimidius
128870,s3523,superedo,v,0,v1spia--3-,supered supered -,superedo
128871,s3524,superefficio,v,0,v1spia--3i,,superefficio
128872,s3525,supereffluo,v,0,v1spia--3-,superefflu superefflux supereffluct,supereffluo
128875,s3527,supereleuo,v,0,v1spia--1-,supereleu supereleuau supereleuat,supereleuo
128876,s3528,superemico,v,0,v1spia--1-,superemic superemicau superemicat,superemico
128878,s9934,supereminentia,n,0,n-s---fn1-,supereminenti,supereminentia
128881,s3531,superenato,v,0,v1spia--1-,superenat superenatau superenatat,superenato
128883,s3533,supererogatio,n,0,n-s---fn3-,supererogation,supererogatio
128885,s3535,supereuolo,v,0,v1spia--1-,supereuol supereuolau supereuolat,supereuolo
128886,s3538,superexcellens,a,0,aps---an3i,superexcellent superexcellent superexcellent,superexcellens
128888,s3539,superexcurro,v,0,v1spia--3-,,superexcurro
128889,s3541,superexhaustus,a,0,aps---mn1-,superexhaust superexhaust superexhaust,superexhaustus
128890,s3542,superexigo,v,0,v1spia--3-,,superexigo
116273,l0798,limpiditas,n,0,n-s---fn3-,limpiditat,limpiditas
100194,p3907,promulsis,n,0,n-s---fn3-,promulsid,promulsis
128897,128897,superficialiter,r,0,rp--------,,superficialiter
128898,128898,superficiarius,n,0,n-s---mn2-,superficiari,superficiarius
128903,128903,superflorescens,a,0,aps---an3i,superflorescent superflorescent superflorescent,superflorescens
128905,128905,superflua,n,0,n-p---nn2-,superflu,superflua
128906,128906,superflue,r,0,rp--------,,superflue
128908,128908,superfluo,r,0,rp--------,,superfluo
128894,s3545,superextollo,v,0,v1spia--3-,,superextollo
128910,128910,superfoeto,v,0,v1spia--1-,superfoet superfoetau superfoeta,superfoeto
128912,128912,superforatus,a,0,aps---mn1-,superforat superforat superforat,superforatus
128918,128918,superfusus,a,0,aps---mn1-,superfus superfus superfus,superfusus
128920,128920,supergenero,v,0,v1spia--1-,supergener supergenerau supergenerat,supergenero
128922,128922,supergestus,a,0,aps---mn1-,supergest supergest supergest,supergestus
128927,128927,supergressus,a,0,aps---mn1-,supergress supergress supergress,supergressus
128932,128932,superiactus,a,0,aps---mn1-,superiact superiact superiact,superiactus
128937,128937,superillinitus,a,0,aps---mn1-,superillinit superillinit superillinit,superillinitus
128939,128939,superillitus,a,0,aps---mn1-,superillit superillit superillit,superillitus
128940,128940,superimineo,v,0,v1spia--2-,,superimineo
128941,128941,superimmitto,v,0,v1spia--3-,,superimmitto
128942,128942,superimpendens,a,0,aps---an3i,superimpendent superimpendent superimpendent,superimpendens
128943,128943,superimpleo,v,0,v1spia--2-,,superimpleo
128944,128944,superimpositus,a,0,aps---mn1-,superimposit superimposit superimposit,superimpositus
128947,128947,superincidens,a,0,aps---an3i,superincident superincident superincident,superincidens
128895,s3547,superfeto,v,0,v1spia--1-,superfet superfetau superfeta,superfeto
128900,s3550,superficium,n,0,n-s---nn2-,superfici,superficium
128901,s3552,superfigo,v,0,v1spia--3-,superfig - superfix,superfigo
128902,s3554,superflexus,a,0,aps---mn1-,superflex superflex superflex,superflexus
128904,s3555,superfloresco,v,0,v1spia--3-,,superfloresco
128909,s3559,superfoedo,v,0,v1spia--1-,superfoed superfoedau superfoeda,superfoedo
128911,s3560,superforaneus,a,0,aps---mn1-,superforane superforane superforane,superforaneus
128913,s3561,superforo,v,0,v1spia--1-,superfor superforau superforat,superforo
128914,s3562,superfrutico,v,0,v1spia--1-,superfrutic superfruticau superfrutica,superfrutico
128915,s3563,superfugio,v,0,v1spia--3i,superfug - -,superfugio
128916,s3564,superfulgeo,v,0,v1spia--2-,,superfulgeo
128917,s3566,superfusio,n,0,n-s---fn3-,superfusion,superfusio
128919,s3567,supergaudeo,v,0,v1spia--2-,,supergaudeo
128923,s3569,superglorifico,v,0,v1spia--1-,superglorific superglorificau superglorifica,superglorifico
128924,s3570,supergloriosus,a,0,aps---mn1-,superglorios superglorios superglorios,supergloriosus
128926,s3572,supergressio,n,0,n-s---fn3-,supergression,supergressio
128928,s9981,supergressus,n,0,n-s---mn4-,supergress,supergressus
128929,s3573,superhabeo,v,0,v1spia--2-,,superhabeo
128930,s3574,superhumerale,n,0,n-s---nn3i,superhumeral,superhumerale
128931,s3577,superiacto,v,0,v1spia--1-,superiact superiactau superiacta,superiacto
128933,s3578,superiectio,n,0,n-s---fn3-,superiection,superiectio
128938,s3580,superillino,v,0,v1spia--3-,superillin - superillit,superillino
128945,s3584,superincendo,v,0,v1spia--3-,,superincendo
128946,s3585,superincerno,v,0,v1spia--3-,,superincerno
128948,s3588,superincresco,v,0,v1spia--3-,superincresc superincreu -,superincresco
24721,l0813,lineamentum,n,1,n-s---nn2-,lineament,lineamentum
100201,,propinquus,n,0,n-s---mn2-,propinqu,propinquus
100320,r0038,ramex,n,0,n-s---mn3-,ramic,ramex
128953,128953,superindicticus,a,0,aps---mn1-,superindictic superindictic superindictic,superindicticus
128960,128960,superinductitius,a,0,aps---mn1-,superinductiti superinductiti superinductiti,superinductitius
128961,128961,superinductus,a,0,aps---mn1-,superinduct superinduct superinduct,superinductus
128964,128964,superindutus,a,0,aps---mn1-,superindut superindut superindut,superindutus
128966,128966,superinfusus,a,0,aps---mn1-,superinfus superinfus superinfus,superinfusus
128970,128970,superiniectus,a,0,aps---mn1-,superiniect superiniect superiniect,superiniectus
128972,128972,superinlino,v,0,v1spia--3-,superinlin - superinlit,superinlino
128973,128973,superinpono,v,0,v1spia--3-,superinpon - superinposit,superinpono
128975,128975,superinstillo,v,0,v1spia--1-,superinstill superinstillau superinstilla,superinstillo
128976,128976,superinstratus,a,0,aps---mn1-,superinstrat superinstrat superinstrat,superinstratus
128978,128978,superinstructus,a,0,aps---mn1-,superinstruct superinstruct superinstruct,superinstructus
128980,128980,superinsultans,a,0,aps---an3i,superinsultant superinsultant superinsultant,superinsultans
128988,128988,superintono,v,0,v1spia--1-,superinton superintonau superintona,superintono
128991,128991,superirruo,v,0,v1spia--3-,,superirruo
128993,128993,superiungo,v,0,v1spia--3-,,superiungo
128995,128995,superlatiue,r,0,rp--------,,superlatiue
129000,129000,superliminare,n,0,n-s---nn3i,superliminar,superliminare
129005,129005,superlitus,a,0,aps---mn1-,superlit superlit superlit,superlitus
128954,s3593,superindictio,n,0,n-s---fn3-,superindiction,superindictio
128955,s6593,superindictum,n,0,n-s---nn2-,superindict,superindictum
128956,s6592,superindictus,a,0,aps---mn1-,superindict superindict superindict,superindictus
128958,s3595,superinducticius,a,0,aps---mn1-,superinductici superinductici superinductici,superinducticius
128959,s3596,superinductio,n,0,n-s---fn3-,superinduction,superinductio
128962,s3597,superindumentum,n,0,n-s---nn2-,superindument,superindumentum
128963,s3598,superinduo,v,0,v1spia--3-,superindu superindu superindut,superinduo
128967,s3600,superingero,v,0,v1spia--3-,superinger - superingest,superingero
128974,s3603,superinspicio,v,0,v1spia--3i,superinspic - -,superinspicio
128977,s3605,superinstrepo,v,0,v1spia--3-,,superinstrepo
128979,s3606,superinstruo,v,0,v1spia--3-,superinstru - superinstruct,superinstruo
128981,s3607,superinsulto,v,0,v1spia--1-,superinsult superinsultau superinsulta,superinsulto
128982,s3608,superinsurrectio,n,0,n-s---fn3-,superinsurrection,superinsurrectio
128983,s3609,superintego,v,0,v1spia--3-,,superintego
128984,s3610,superintellego,v,0,v1spia--3-,,superintellego
128985,s3611,superintendo,v,0,v1spia--3-,,superintendo
128986,s3612,superintentor,n,0,n-s---mn3-,superintentor,superintentor
128987,s3613,superintero,v,0,v1spia--3-,,superintero
128990,s3614,superinundo,v,0,v1spia--1-,superinund superinundau superinunda,superinundo
128994,s3620,superlacrimo,v,0,v1spia--1-,superlacrim superlacrimau superlacrima,superlacrimo
128996,s3622,superlatiuus,a,0,aps---mn1-,superlatiu superlatiu superlatiu,superlatiuus
128997,s3623,superlaudabilis,a,0,aps---cn3i,superlaudabil superlaudabil superlaudabil,superlaudabilis
128998,s3624,superligo,v,0,v1spia--1-,superlig superligau superliga,superligo
129002,s6626,superlinitio,n,0,n-s---fn3-,superlinition,superlinitio
129003,s3627,superlino,v,0,v1spia--3-,superlin superleu superlit,superlino
129004,s3628,superlitio,n,0,n-s---fn3-,superlition,superlitio
116286,l0814,linearis,a,0,aps---cn3i,linear linear linear,linearis
129024,s3643,supernauigo,v,1,v1spia--1-,supernauig supernauigau supernauiga,supernauigo
100274,q0081,quadrupedans,a,0,aps---an3i,quadrupedant quadrupedant quadrupedant,quadrupedans
129008,129008,superlugeo,v,0,v1spia--2-,,superlugeo
129012,129012,supermico,v,0,v1spia--1-,supermic supermicau supermica,supermico
129018,129018,supernans,a,0,aps---an3i,supernant supernant supernant,supernans
129019,129019,supernas,a,0,aps---an3-,supernat supernat supernat,supernas
129023,129023,supernatus,a,0,aps---mn1-,supernat supernat supernat,supernatus
129032,129032,superobrutus,a,0,aps---mn1-,superobrut superobrut superobrut,superobrutus
129033,129033,superobumbro,v,0,v1spia--1-,superobumbr superobumbrau superobumbrat,superobumbro
129034,129034,superoccidens,a,0,aps---an3i,superoccident superoccident superoccident,superoccidens
129036,129036,superoperio,v,0,v1spia--3-,superoperi  ,superoperio
129041,129041,superpartiens,a,0,aps---an3i,superpartient superpartient superpartient,superpartiens
129042,129042,superpendens,a,0,aps---an3i,superpendent superpendent superpendent,superpendens
129043,129043,superperspicio,v,0,v1spia--3i,superperspic - -,superperspicio
129044,129044,superpeto,v,0,v1spia--3-,,superpeto
129045,129045,superpictus,a,0,aps---mn1-,superpict superpict superpict,superpictus
129048,129048,superpolluo,v,0,v1spia--3-,superpollu superpollu -,superpolluo
116294,l0828,lingulatus,a,0,aps---mn1-,lingulat lingulat lingulat,lingulatus
129052,129052,superproiicio,v,0,v1spia--3i,,superproiicio
129055,129055,superquantio,v,0,v1spia--3i,,superquantio
129060,129060,superrasus,a,0,aps---mn1-,superras superras superras,superrasus
129062,129062,superrimus,a,0,aps---mn1-,superrim superrim superrim,superrimus
129063,129063,superrumus,a,0,aps---mn1-,superrum superrum superrum,superrumus
129065,129065,superrutilo,v,0,v1spia--1-,superrutil superrutilau superrutila,superrutilo
129014,s3635,supermolaris,a,0,aps---cn3i,supermolar supermolar supermolar,supermolaris
129017,s3638,supermunio,v,0,v1spia--4-,supermun supermuniu supermunit,supermunio
129020,s3639,supernas,n,0,n-s---mn3-,supernat,supernas
129022,s3641,supernatio,n,0,n-s---fn3-,supernation,supernatio
129025,s3644,supernexiuus,a,0,aps---mn1-,supernexiu supernexiu supernexiu,supernexiuus
129026,s3645,supernitas,n,0,n-s---fn3-,supernitat,supernitas
129027,s3646,superno,v,0,v1spia--1-,supern supernau superna,superno
129028,s3647,supernomino,v,0,v1spia--1-,supernomin supernominau supernomina,supernomino
129031,s3651,superobductus,a,0,aps---mn1-,superobduct superobduct superobduct,superobductus
129035,s3653,superoccido,v,0,v1spia--3-,,superoccido
129037,s3655,superordinatio,n,0,n-s---fn3-,superordination,superordinatio
129039,s3657,superparticularis,a,0,aps---cn3i,superparticular superparticular superparticular,superparticularis
129040,s3658,superparticularitas,n,0,n-s---fn3-,superparticularitat,superparticularitas
129046,s3661,superpingo,v,0,v1spia--3-,superping - superpict,superpingo
129047,s3662,superplaudo,v,0,v1spia--3-,,superplaudo
129049,s3663,superpondium,n,0,n-s---nn2-,superpondi,superpondium
129050,s3665,superpositio,n,0,n-s---fn3-,superposition,superpositio
129051,s3666,superpostulatio,n,0,n-s---fn3-,superpostulation,superpostulatio
129056,s3669,superquartus,a,0,aps---mn1-,superquart superquart superquart,superquartus
129057,s3671,superquatio,v,0,v1spia--3i,,superquatio
129059,s3673,superrado,v,0,v1spia--3-,superrad superras superras,superrado
129061,s3674,superrideo,v,0,v1spia--2-,,superrideo
129064,s3675,superruo,v,0,v1spia--3-,,superruo
129066,s3676,supersapio,v,0,v1spia--3i,,supersapio
116293,l0826,linguax,a,0,aps---an3i,linguac linguac linguac,linguax
100336,r0144,recens,a,0,aps---an3i,recent recent recent,recens
100400,r0519,resinatus,a,0,aps---mn1-,resinat resinat resinat,resinatus
129074,129074,supersessus,a,0,aps---mn1-,supersess supersess supersess,supersessus
129077,129077,supersigno,v,0,v1spia--1-,supersign supersignau supersigna,supersigno
116319,l0811,lintearius,n,0,n-s---mn2-,linteari,lintearius
129078,129078,supersiliens,a,0,aps---an3i,supersilient supersilient supersilient,supersiliens
129085,129085,superspersus,a,0,aps---mn1-,superspers superspers superspers,superspersus
129090,129090,superstrictus,a,0,aps---mn1-,superstrict superstrict superstrict,superstrictus
129092,129092,superstructus,a,0,aps---mn1-,superstruct superstruct superstruct,superstructus
129094,129094,supersubstantiuus,a,0,aps---mn1-,supersubstantiu supersubstantiu supersubstantiu,supersubstantiuus
129096,129096,supersuspensus,a,0,aps---mn1-,supersuspens supersuspens supersuspens,supersuspensus
129097,129097,supertectus,a,0,aps---mn1-,supertect supertect supertect,supertectus
129103,129103,supertextor,n,0,n-s---mn3-,supertextor,supertextor
129110,129110,superuacue,r,0,rp--------,,superuacue
129112,129112,superuacuo,r,0,rp--------,,superuacuo
129119,129119,superuentio,n,0,n-s---fn3-,superuention,superuentio
129121,129121,superuentores,n,0,n-s---mn3-,superuentor,superuentores
129124,129124,superumerale,n,0,n-s---nn3i,superumeral,superumerale
129126,129126,superunctus,a,0,aps---mn1-,superunct superunct superunct,superunctus
129072,s3682,supersemino,v,0,v1spia--1-,supersemin superseminau superseminat,supersemino
129073,s3683,supersero,v,0,v1spia--3-,superser superseu -,supersero
129076,s3685,supersido,v,0,v1spia--3-,,supersido
129079,s3686,supersilio,v,0,v1spia--4-,supersil supersiliu supersilit,supersilio
129080,s3687,supersisto,v,0,v1spia--3-,supersist supersistit -,supersisto
129081,s3688,supersorbeo,v,0,v1spia--2-,,supersorbeo
129082,s3689,superspargo,v,0,v1spia--3-,supersparg - -,superspargo
129083,s3689,superspergo,v,0,v1spia--3-,supersperg - -,superspergo
129084,s3690,superspero,v,0,v1spia--1-,supersper supersperau supersperat,superspero
129086,s3691,superspicio,v,0,v1spia--3i,superspic superspex -,superspicio
129088,s3696,superstillo,v,0,v1spia--1-,superstill superstillau superstilla,superstillo
129089,s3699,superstito,v,0,v1spia--1-,superstit superstitau superstita,superstito
129093,s3703,supersubstantialis,a,0,aps---cn3i,supersubstantial supersubstantial supersubstantial,supersubstantialis
129095,s3705,supersumo,v,0,v1spia--3-,,supersumo
129098,s3707,supertegulum,n,0,n-s---nn2-,supertegul,supertegulum
129099,s3708,supertendo,v,0,v1spia--3-,,supertendo
129100,s3709,superterrenus,a,0,aps---mn1-,superterren superterren superterren,superterrenus
129101,s3710,supertertius,a,0,aps---mn1-,superterti superterti superterti,supertertius
129102,s3711,supertexo,v,0,v1spia--3-,,supertexo
129104,s3712,supertollo,v,0,v1spia--3-,,supertollo
129105,s3713,supertraho,v,0,v1spia--3-,,supertraho
129109,s3716,superuaco,v,0,v1spia--1-,superuac superuacau superuaca,superuaco
129111,s3717,superuacuitas,n,0,n-s---fn3-,superuacuitat,superuacuitas
129115,s3722,superualeo,v,0,v1spia--2-,,superualeo
129116,s3722,superualesco,v,0,v1spia--3-,,superualesco
129118,s3724,superueho,v,0,v1spia--3-,superueh superuex superuect,superueho
129120,s3726,superuentor,n,0,n-s---mn3-,superuentor,superuentor
129122,s3727,superuestio,v,0,v1spia--4-,superuest - superuestit,superuestio
129123,s3728,superuinco,v,0,v1spia--3-,,superuinco
129125,s3730,superunctio,n,0,n-s---fn3-,superunction,superunctio
116312,l9897,linitus,n,0,n-s---mn4-,linit,linitus
100501,s0739,scortillum,n,0,n-s---nn2-,scortill,scortillum
100590,100590,sestertius,n,0,n-s---mn2-,sesterti,sestertius
129131,129131,supinatus,a,0,aps---mn1-,supinat supinat supinat,supinatus
129133,129133,suppactus,a,0,aps---mn1-,suppact suppact suppact,suppactus
